Partner,Region_ISO_Code,Region,Region_Felt,Total_Quantity,Distribution_Rows,Unique_Receivers,Unique_Cities,Unique_Product_Types
Yashchenko Foundation West HQ,UA-05,Vinnytsia,Vinnytsia,96066.0,15,0,1,11
Humanitarian Hub Zhytomyr,UA-05,Vinnytska,Vinnytsia,6438.0,10,2,2,7
Charity Fund TAPS,UA-05,Vinnytsia,Vinnytsia,4310.0,182,19,14,14
Mission Kharkiv,UA-05,Vinnytsia,Vinnytsia,56.0,2,2,2,2
Christian Medical Association,UA-05,Vinnytsia,Vinnytsia,24.0,1,1,1,1
Humanitarian Hub Zhytomyr,UA-07,Volynska,Volyn,5773.0,7,3,1,5
Charity Fund TAPS,UA-07,Volyn,Volyn,3093.0,216,12,9,14
Christian Medical Association,UA-07,Volynska,Volyn,2823.0,19,7,4,11
Mission Kharkiv,UA-07,Volyn,Volyn,113.0,5,4,2,1
Charity Fund Modern Village and Town,UA-07,Volynska,Volyn,60.0,1,1,1,1
Charity Fund TAPS,UA-09,Luhansk,Luhansk,4390.0,143,10,5,17
Humanitarian Hub Zhytomyr,UA-09,Luhanska,Luhansk,881.0,4,1,1,4
Charity Fund TAPS,UA-12,Dnipropetrovsk,Dnipropetrovsk,213106.0,631,46,24,20
Yashchenko Foundation West HQ,UA-12,Dnipro,Dnipropetrovsk,199014.0,85,0,7,18
Humanitarian Hub Zhytomyr,UA-12,Dnipropetrovska,Dnipropetrovsk,154865.0,39,9,4,12
Charity Fund Hromada Hub,UA-12,Dnipropetrovsk,Dnipropetrovsk,19340.0,15,2,0,8
ICF UKRAINIAN SOUL,UA-12,Dnipropetrovska,Dnipropetrovsk,3072.0,14,14,10,7
Christian Medical Association,UA-12,Dnipropetrovska,Dnipropetrovsk,547.0,20,7,7,10
Mission Kharkiv,UA-12,Dnipro,Dnipropetrovsk,508.0,8,6,3,3
Charity Fund Modern Village and Town,UA-12,Dnipropetrovska,Dnipropetrovsk,96.0,1,1,1,1
Charity Fund TAPS,UA-14,Donetsk,Donetsk,9616.0,152,15,14,14
Fondation Humanitaire Internationale AICM Ukraine,UA-14,Donetsk,Donetsk,2304.0,39,4,3,13
Mission Kharkiv,UA-14,Donetsk,Donetsk,65.0,2,2,1,1
Christian Medical Association,UA-14,Donetska,Donetsk,45.0,4,2,2,4
Humanitarian Hub Zhytomyr,UA-18,Zhytomyrska,Zhytomyr,161505.0,110,21,6,20
Charity Fund TAPS,UA-18,Zhytomyr,Zhytomyr,11034.0,321,21,17,15
Christian Medical Association,UA-18,Zhytomyrska,Zhytomyr,560.0,23,2,2,9
Mission Kharkiv,UA-18,Zhytomyr,Zhytomyr,280.0,5,4,1,1
Yashchenko Foundation West HQ,UA-21,Zakarpattia,Transcarpathia,17324.0,3,0,1,3
Charity Fund TAPS,UA-21,Transcarpathia,Transcarpathia,1527.0,53,5,5,7
Mission Kharkiv,UA-21,Uzhhorod,Transcarpathia,730.0,13,7,5,2
Christian Medical Association,UA-21,Zakarpatska,Transcarpathia,462.0,20,5,4,11
ICF UKRAINIAN SOUL,UA-21,Zakarpatska,Transcarpathia,29.0,1,1,1,1
Yashchenko Foundation West HQ,UA-23,Zaporizhzhia,Zaporizhzhya,21708.0,40,0,4,15
Charity Fund TAPS,UA-23,Zaporizhzhya,Zaporizhzhya,6065.0,113,19,10,14
Charity Fund Hromada Hub,UA-23,Zaporizhzhya,Zaporizhzhya,823.0,6,1,0,4
ICF UKRAINIAN SOUL,UA-23,Zaporizka,Zaporizhzhya,630.0,2,2,2,1
Christian Medical Association,UA-23,Zaporizka,Zaporizhzhya,316.0,5,2,1,4
Mission Kharkiv,UA-23,Zaporizhzhia,Zaporizhzhya,222.0,6,4,1,4
Charity Fund TAPS,UA-26,Ivano-Frankivsk,Ivano-Frankivsk,3948.0,114,11,7,11
Humanitarian Hub Zhytomyr,UA-26,Ivano-Frankivska,Ivano-Frankivsk,3937.0,6,1,1,5
ICF UKRAINIAN SOUL,UA-26,Ivano-Frankivsk,Ivano-Frankivsk,228.0,2,2,1,2
Christian Medical Association,UA-26,Ivano-Frankivska,Ivano-Frankivsk,113.0,3,1,1,3
Charity Fund Modern Village and Town,UA-26,Ivano-Frankivska,Ivano-Frankivsk,25.0,1,1,1,1
Mission Kharkiv,UA-26,Ivano-Frankivsk,Ivano-Frankivsk,5.0,1,1,1,1
Charity Fund TAPS,UA-30,Kiev City,Kiev City,589673.0,192,5,1,23
Yashchenko Foundation West HQ,UA-30,Kyiv,Kiev City,31547.0,22,0,1,13
AMOR Ukraine Health Organization,UA-30,Kiev City,Kiev City,17990.0,9,2,1,8
Charity Fund Modern Village and Town,UA-30,Kiev City,Kiev City,11235.0,30,15,1,13
Christian Medical Association,UA-30,Kyiv,Kiev City,3661.0,11,5,1,8
Mission Kharkiv,UA-30,Kyiv,Kiev City,587.0,11,7,3,2
Humanitarian Hub Zhytomyr,UA-32,Kyivska,Kiev,75777.0,35,7,5,12
Charity Fund Modern Village and Town,UA-32,Kievskaya,Kiev,29748.0,51,9,8,17
Charity Fund TAPS,UA-32,Kiev,Kiev,10855.0,308,21,19,15
AMOR Ukraine Health Organization,UA-32,Kiev,Kiev,1288.0,16,1,1,8
Christian Medical Association,UA-32,Kyiv Oblast,Kiev,529.0,12,4,3,8
ICF UKRAINIAN SOUL,UA-32,Kiev,Kiev,512.0,2,2,1,1
Fondation Humanitaire Internationale AICM Ukraine,UA-32,Kiev,Kiev,488.0,14,2,1,5
CF Yevgen Pyvovarov's Charity Fund,UA-32,Kiev,Kiev,72.0,2,1,1,1
Charity Fund TAPS,UA-35,Kirovohrad,Kirovohrad,72830.0,588,26,16,21
Humanitarian Hub Zhytomyr,UA-35,Kirovohradska,Kirovohrad,44828.0,56,6,4,15
Charity Fund Hromada Hub,UA-35,Kirovohrad,Kirovohrad,23358.0,22,2,0,10
Yashchenko Foundation West HQ,UA-35,Kirovohrad,Kirovohrad,17291.0,10,0,1,6
Christian Medical Association,UA-35,Kirovohradska,Kirovohrad,3472.0,84,6,6,14
First Lviv Territorial Medical Union,UA-46,Lviv,Lviv,202566.0,71,1,1,16
Yashchenko Foundation West HQ,UA-46,Lviv,Lviv,39667.0,15,0,3,7
Christian Medical Association,UA-46,Lvivska,Lviv,33812.0,86,17,7,15
Humanitarian Hub Zhytomyr,UA-46,Lvivska,Lviv,7936.0,4,1,1,4
Charity Fund TAPS,UA-46,Lviv,Lviv,3655.0,120,11,8,12
Charity Fund Modern Village and Town,UA-46,Lvivska,Lviv,2124.0,5,2,1,4
Mission Kharkiv,UA-46,Lviv,Lviv,405.0,14,6,2,5
CF Yevgen Pyvovarov's Charity Fund,UA-46,Lvivska,Lviv,161.0,2,1,1,1
Humanitarian Hub Zhytomyr,UA-48,Mykolaivska,Mykolaiv,32375.0,28,5,2,14
Yashchenko Foundation West HQ,UA-48,Mykolaiv,Mykolaiv,24627.0,52,0,6,15
Charity Fund Modern Village and Town,UA-48,Nikolaev,Mykolaiv,11454.0,4,1,1,4
Charity Fund TAPS,UA-48,Mykolaiv,Mykolaiv,6315.0,152,15,7,15
CF Yevgen Pyvovarov's Charity Fund,UA-48,Mykolaivska,Mykolaiv,5643.0,57,1,1,15
Charity Fund Hromada Hub,UA-48,Mykolaiv,Mykolaiv,4265.42,22,2,0,9
ICF UKRAINIAN SOUL,UA-48,Mykolaiv,Mykolaiv,1629.0,2,2,1,1
Christian Medical Association,UA-48,Mykolaivska,Mykolaiv,20.0,2,1,1,2
AMOR Ukraine Health Organization,UA-51,Odesa,Odesa,11735.0,19,1,1,5
ICF UKRAINIAN SOUL,UA-51,Odesa,Odesa,8310.0,11,10,1,6
Humanitarian Hub Zhytomyr,UA-51,Odeska,Odesa,3937.0,8,2,2,5
Charity Fund TAPS,UA-51,Odesa,Odesa,3496.0,80,8,7,11
Christian Medical Association,UA-51,Odeska,Odesa,1529.0,16,4,4,7
Mission Kharkiv,UA-51,Odesa,Odesa,105.0,6,5,3,1
Humanitarian Hub Zhytomyr,UA-53,Poltavska,Poltava,24589.0,12,3,2,7
Yashchenko Foundation West HQ,UA-53,Poltava,Poltava,12335.0,53,0,7,14
Charity Fund TAPS,UA-53,Poltava,Poltava,8584.0,327,19,16,18
Charity Fund Modern Village and Town,UA-53,Poltavska,Poltava,7170.0,24,4,4,13
Fondation Humanitaire Internationale AICM Ukraine,UA-53,Poltava,Poltava,6654.0,97,9,4,13
Mission Kharkiv,UA-53,Poltava,Poltava,716.0,7,4,4,3
ICF UKRAINIAN SOUL,UA-53,Poltavskaya,Poltava,411.0,9,9,4,3
Charity Fund TAPS,UA-56,Rivne,Rivne,14141.0,113,10,8,16
Christian Medical Association,UA-56,Rivnenska,Rivne,426.0,20,7,6,11
Mission Kharkiv,UA-56,Rivne,Rivne,194.0,7,5,4,2
Yashchenko Foundation West HQ,UA-59,Sumy,Sumy,11571.0,51,0,6,14
Fondation Humanitaire Internationale AICM Ukraine,UA-59,Sumy,Sumy,10974.0,331,20,12,18
Humanitarian Hub Zhytomyr,UA-59,Sumska,Sumy,10752.0,15,5,2,7
Charity Fund TAPS,UA-59,Sumy,Sumy,10035.0,240,18,14,18
Charity Fund Hromada Hub,UA-59,Sumy,Sumy,4664.0,25,4,0,10
Charity Fund Modern Village and Town,UA-59,Sumskaya,Sumy,1572.0,6,1,1,6
Christian Medical Association,UA-59,Sumska,Sumy,938.0,7,3,3,6
CF Yevgen Pyvovarov's Charity Fund,UA-59,Sumska,Sumy,739.0,20,2,1,7
Mission Kharkiv,UA-59,Sumy,Sumy,312.0,5,3,1,2
Charity Fund TAPS,UA-61,Ternopil,Ternopil,10909.0,296,14,14,15
Yashchenko Foundation West HQ,UA-61,Ternopil,Ternopil,9358.0,16,0,2,9
Humanitarian Hub Zhytomyr,UA-61,Ternopilska,Ternopil,8630.0,7,1,1,7
Charity Fund Modern Village and Town,UA-61,Ternopilska,Ternopil,2695.0,11,2,2,11
Charity Fund Hromada Hub,UA-61,Ternopil,Ternopil,2352.0,14,2,0,8
Christian Medical Association,UA-61,Ternopilska,Ternopil,2068.0,43,7,7,13
Mission Kharkiv,UA-61,Ternopil,Ternopil,90.0,3,3,2,2
Yashchenko Foundation West HQ,UA-63,Kharkiv,Kharkiv,66432.0,94,0,12,16
CF Yevgen Pyvovarov's Charity Fund,UA-63,Kharkivska,Kharkiv,48946.0,420,60,20,24
Humanitarian Hub Zhytomyr,UA-63,Kharkivska,Kharkiv,20226.0,19,5,4,13
Charity Fund TAPS,UA-63,Kharkiv,Kharkiv,15909.0,305,31,16,16
Fondation Humanitaire Internationale AICM Ukraine,UA-63,Kharkiv,Kharkiv,8917.0,166,22,7,17
Mission Kharkiv,UA-63,Kharkiv,Kharkiv,7882.0,160,44,17,13
Christian Medical Association,UA-63,Kharkivska,Kharkiv,2573.0,23,6,4,14
AMOR Ukraine Health Organization,UA-63,Kharkiv,Kharkiv,330.0,2,1,1,2
Charity Fund Hromada Hub,UA-63,Kharkiv,Kharkiv,244.0,2,1,0,2
Charity Fund Modern Village and Town,UA-63,Kharkivska,Kharkiv,20.0,1,1,1,1
Yashchenko Foundation West HQ,UA-65,Kherson,Kherson,28893.0,20,0,1,14
Charity Fund Hromada Hub,UA-65,Kherson,Kherson,21848.0,26,2,0,8
Charity Fund TAPS,UA-65,Kherson,Kherson,14483.0,157,9,5,14
