Partner,Status,Shipped_Records,Shipped_Quantity,Shipped_Value_USD,Reported_Rows,Reported_Quantity,Coverage_Pct_Capped,Coverage_Pct_Raw,Unique_Regions_Reported,Unique_Receivers_Reported
Charity Fund TAPS,received,545,1295330,217785410.10999998,5868,1160635,87.4,89.6,25,403
Fondation Humanitaire Internationale AICM Ukraine,received,189,222379,55455049.25,739,34219,14.7,15.4,6,62
Humanitarian Hub Zhytomyr,received,395,694811,53884653.15,394,689077,99.2,99.2,17,79
Mission Kharkiv,received,67,28385,46447036.16,280,14129,49.8,49.8,26,127
"Ministry of Health, Ukraine",pending,37,37974,40206405.39,0,0,0.0,0.0,0,0
Yashchenko Foundation West HQ,received,258,606058,31105035.66,556,606058,100.0,100.0,17,0
Christian Medical Association,received,63,59275,26010570.56,492,58618,97.6,98.9,30,96
Charity Fund Modern Village and Town,received,207,104658,24155329.98,210,101595,94.5,97.1,15,54
ICF UKRAINIAN SOUL,received,332,139639,21141073.94,207,107244,76.8,76.8,12,45
AMOR Ukraine Health Organization,received,146,118722,14731479.3,146,118722,100.0,100.0,5,8
CF Yevgen Pyvovarov's Charity Fund,received,186,82250,11842542.95,501,55561,37.8,67.6,5,65
Charity Fund Hromada Hub,received,159,278042,7402697.25,262,97669,35.1,35.1,10,35
First Lviv Territorial Medical Union,received,84,210792,6578288.13,71,202566,95.9,96.1,1,1
Frida Warehouse,pending,72,7386,1148265.84,0,0,0.0,0.0,0,0
