Partner,Submission_Status,Delivery_Order,Receiver,Receiver_Type,Region,City,Product_Type,Quantity,Units,Num_Distributions,Notes,Region_ISO_Code,Product_Type_Check,Units_Check,Region_Felt
AMOR Ukraine Health Organization,received,80243516,ZHASHKIV MULTIPROFILE HOSPITAL,CNE,Cherkasy,Zhashkiv,Personal safety & protection,4385.0,EA,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,ZHASHKIV MULTIPROFILE HOSPITAL,CNE,Cherkasy,Zhashkiv,Anti-infective Agents,1050.0,BOT,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,ZHASHKIV MULTIPROFILE HOSPITAL,CNE,Cherkasy,Zhashkiv,Cardiovascular Drugs,0.0,BOT,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,UMAN CENTRAL DISTRICT HOSPITAL,CNE,Cherkasy,Uman,Personal safety & protection,1.0,CS,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,ZHASHKIV MULTIPROFILE HOSPITAL,CNE,Cherkasy,Zhashkiv,Central Nervous System Agents,4.0,PAK,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,ZHASHKIV MULTIPROFILE HOSPITAL,CNE,Cherkasy,Zhashkiv,Central Nervous System Agents,10.0,BOT,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,ZHASHKIV MULTIPROFILE HOSPITAL,CNE,Cherkasy,Zhashkiv,Central Nervous System Agents,10.0,PAK,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,UMAN CENTRAL DISTRICT HOSPITAL,CNE,Cherkasy,Uman,Autonomic Drugs,15.0,BOT,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,ZHASHKIV MULTIPROFILE HOSPITAL,CNE,Cherkasy,Zhashkiv,Central Nervous System Agents,15.0,BOT,,,UA-71,,,Cherkasy
AMOR Ukraine Health Organization,received,80243516,UMAN CENTRAL DISTRICT HOSPITAL,CNE,Cherkasy,Uman,Anti-infective Agents,15.0,BOT,,,UA-71,,,Cherkasy
